study_hours,previous_score,technical_skill,assignments_completed,attendance,final_score,pass
7.13,96,1,1,61,43.04,1
4.46,34,5,4,49,34.23,0
0.29,61,8,0,58,35.82,0
7.09,62,3,3,68,43.47,1
2.99,87,5,8,52,55.52,1
0.79,85,2,3,67,33.17,0
0.35,62,7,4,99,39.4,0
7.27,76,7,1,44,47.91,1
5.43,51,9,8,93,61.99,1
3.65,55,5,8,73,45.65,1
0.96,74,2,1,81,22.03,0
2.24,39,9,7,98,42.67,1
7.09,96,10,10,83,76.72,1
2.43,35,6,8,83,43.49,1
4.24,94,1,6,64,35.82,0
0.54,51,1,8,57,18.92,0
11.19,54,6,9,58,57.27,1
6.86,31,6,3,55,30.08,0
9.54,61,6,7,84,63.97,1
11.54,72,7,1,72,61.92,1
0.74,87,7,8,85,45.72,1
11.35,73,10,7,63,81.25,1
9.39,35,9,0,44,55.52,1
11.21,55,2,3,46,37.78,0
2.27,53,10,5,85,45.31,1
6.73,87,6,1,45,60.19,1
3.94,81,9,9,73,55.52,1
0.59,57,1,1,59,21.37,0
3.36,44,1,5,45,14.33,0
7.2,63,8,10,42,74.65,1
3.07,82,10,1,63,38.66,0
2.72,37,5,3,84,23.51,0
6.18,57,1,6,66,37.69,0
0.22,42,1,3,42,5.96,0
6.85,37,1,9,71,51.95,1
8.66,62,5,1,77,44.53,1
1.46,59,5,3,50,24.13,0
2.82,36,5,7,74,49.06,1
10.87,93,4,1,69,57.71,1
3.57,51,2,4,97,41.01,1
9.3,99,4,3,46,51.05,1
11.11,88,8,10,73,83.28,1
7.3,67,8,1,57,49.7,1
5.59,42,10,5,96,59.17,1
1.34,48,8,0,56,21.42,0
10.56,74,10,7,63,84.13,1
6.25,95,7,0,92,45.3,1
7.99,76,10,5,70,70.97,1
4.2,64,1,4,45,42.35,1
11.6,77,1,2,56,55.45,1
4.88,72,9,5,41,47.29,1
6.21,38,6,6,96,42.53,1
11.59,73,8,9,51,87.17,1
10.85,44,9,10,95,84.8,1
3.33,54,9,5,96,50.39,1
6.74,63,8,3,92,66.27,1
0.58,54,4,0,49,5.59,0
2.18,63,5,10,77,46.84,1
10.06,71,1,9,45,58.18,1
0.22,89,3,4,84,43.51,1
0.92,42,7,9,100,45.76,1
10.74,97,10,9,56,80.37,1
6.71,57,5,2,43,41.83,1
1.9,72,3,3,80,29.2,0
8.47,81,10,1,84,57.76,1
8.45,56,5,9,84,67.45,1
